project_id_P,project_name,departments_department_id,start_year
145,Project Alpha 198,536,2020
146,Project Alpha 144,856,2012
147,Project Beta 994,33,2013
148,Project Alpha 597,197,2011
149,Project Alpha 684,658,2023
150,Project Delta 773,502,2018
151,Project Epsilon 818,605,2014
152,Project Alpha 475,227,2019
153,Project Zeta 172,14,2013
154,Project Zeta 603,951,2023
155,Project Alpha 579,821,2020
156,Project Alpha 469,572,2021
157,Project Delta 941,378,2022
158,Project Zeta 159,844,2019
159,Project Gamma 641,42,2021
160,Project Alpha 954,312,2011
161,Project Beta 631,100,2011
162,Project Zeta 336,545,2016
163,Project Beta 297,539,2020
164,Project Beta 683,641,2012
165,Project Epsilon 867,572,2016
166,Project Zeta 208,785,2020
167,Project Epsilon 466,691,2017
168,Project Zeta 781,438,2011
169,Project Beta 911,185,2018
170,Project Delta 616,346,2020
171,Project Beta 646,615,2017
172,Project Gamma 422,564,2015
173,Project Gamma 522,783,2020
174,Project Delta 945,744,2015
175,Project Epsilon 346,577,2018
176,Project Beta 484,785,2018
177,Project Zeta 360,369,2017
178,Project Delta 506,1,2021
179,Project Alpha 391,611,2010
180,Project Epsilon 238,912,2014
181,Project Alpha 407,228,2013
182,Project Gamma 122,791,2023
183,Project Zeta 942,283,2018
184,Project Epsilon 669,585,2019
185,Project Beta 196,39,2017
186,Project Gamma 259,142,2014
187,Project Gamma 696,256,2013
188,Project Gamma 930,308,2011
189,Project Epsilon 509,583,2013
190,Project Zeta 179,741,2015
191,Project Delta 277,500,2023
192,Project Zeta 819,591,2023
193,Project Alpha 709,658,2014
194,Project Alpha 848,828,2019
195,Project Delta 180,799,2010
196,Project Gamma 456,901,2023
197,Project Delta 526,953,2023
198,Project Alpha 990,789,2013
199,Project Zeta 768,870,2019
200,Project Alpha 749,797,2020
201,Project Delta 155,313,2018
202,Project Alpha 426,553,2019
203,Project Beta 434,515,2021
204,Project Beta 256,52,2020
205,Project Zeta 502,995,2017
206,Project Epsilon 689,517,2011
207,Project Beta 542,297,2022
208,Project Delta 251,136,2015
209,Project Alpha 587,586,2021
210,Project Alpha 661,409,2014
211,Project Alpha 508,514,2016
212,Project Zeta 233,781,2012
213,Project Delta 672,203,2017
214,Project Delta 767,586,2013
215,Project Epsilon 730,754,2018
216,Project Beta 348,74,2014
217,Project Delta 431,702,2019
218,Project Alpha 215,688,2016
219,Project Delta 474,357,2013
220,Project Gamma 452,609,2020
221,Project Alpha 888,313,2012
222,Project Gamma 731,842,2022
223,Project Delta 738,150,2017
224,Project Alpha 937,240,2013
225,Project Zeta 482,160,2022
226,Project Zeta 973,88,2011
227,Project Zeta 155,249,2019
228,Project Beta 989,853,2023
229,Project Gamma 114,352,2021
230,Project Alpha 412,461,2017
231,Project Alpha 439,215,2021
232,Project Epsilon 316,209,2018
233,Project Epsilon 868,265,2018
234,Project Delta 737,748,2012
235,Project Zeta 815,685,2010
236,Project Delta 696,928,2020
237,Project Epsilon 144,262,2012
238,Project Alpha 390,206,2022
239,Project Zeta 732,278,2010
240,Project Delta 770,968,2010
241,Project Alpha 497,677,2014
242,Project Zeta 972,935,2020
243,Project Gamma 985,111,2010
244,Project Gamma 988,905,2020
245,Project Delta 336,390,2018
246,Project Zeta 201,926,2015
247,Project Delta 987,612,2018
248,Project Alpha 290,204,2018
249,Project Delta 674,949,2021
250,Project Alpha 140,254,2018
251,Project Gamma 441,502,2016
252,Project Zeta 260,19,2015
253,Project Zeta 460,364,2020
254,Project Gamma 341,514,2014
255,Project Alpha 740,264,2016
256,Project Alpha 668,972,2014
257,Project Beta 255,350,2016
258,Project Zeta 240,90,2021
259,Project Delta 633,984,2020
260,Project Epsilon 993,641,2020
261,Project Beta 527,247,2019
262,Project Beta 536,994,2014
263,Project Epsilon 437,460,2018
264,Project Beta 311,669,2012
265,Project Epsilon 654,701,2022
266,Project Beta 983,142,2014
267,Project Zeta 822,921,2018
268,Project Beta 540,931,2022
269,Project Beta 771,956,2019
270,Project Beta 425,70,2018
271,Project Epsilon 836,122,2012
272,Project Gamma 959,901,2012
273,Project Zeta 130,784,2015
274,Project Delta 521,311,2017
275,Project Zeta 941,916,2020
276,Project Zeta 380,156,2022
277,Project Beta 209,135,2012
278,Project Alpha 880,627,2019
279,Project Gamma 720,581,2019
280,Project Beta 710,238,2013
281,Project Zeta 126,368,2011
282,Project Zeta 898,489,2012
283,Project Epsilon 966,620,2017
284,Project Zeta 765,383,2012
285,Project Delta 603,486,2012
286,Project Beta 297,232,2010
287,Project Delta 882,993,2010
288,Project Gamma 522,228,2021
289,Project Zeta 307,776,2013
290,Project Alpha 281,950,2017
291,Project Epsilon 601,705,2015
292,Project Delta 352,438,2016
293,Project Alpha 722,753,2023
294,Project Delta 837,321,2016
295,Project Epsilon 860,586,2019
296,Project Epsilon 637,657,2021
297,Project Alpha 633,112,2017
298,Project Delta 946,899,2010
299,Project Beta 631,551,2016
300,Project Zeta 140,572,2016
301,Project Epsilon 883,646,2010
302,Project Beta 398,451,2016
303,Project Gamma 892,848,2014
304,Project Delta 270,433,2014
305,Project Epsilon 155,707,2018
306,Project Beta 574,850,2020
307,Project Delta 192,740,2018
308,Project Alpha 284,798,2019
309,Project Zeta 659,139,2016
310,Project Delta 431,462,2010
311,Project Beta 564,605,2021
312,Project Beta 565,93,2014
313,Project Gamma 808,665,2021
314,Project Beta 835,751,2011
315,Project Alpha 216,724,2017
316,Project Zeta 471,88,2018
317,Project Zeta 493,745,2022
318,Project Epsilon 726,973,2012
319,Project Delta 663,390,2010
320,Project Beta 443,580,2023
321,Project Zeta 983,154,2012
322,Project Beta 283,788,2021
323,Project Alpha 529,316,2014
324,Project Zeta 887,985,2017
325,Project Gamma 741,186,2011
326,Project Beta 307,4,2019
327,Project Gamma 112,470,2017
328,Project Delta 656,827,2010
329,Project Epsilon 605,244,2013
330,Project Epsilon 775,488,2017
331,Project Delta 552,82,2019
332,Project Epsilon 106,251,2018
333,Project Gamma 734,644,2018
334,Project Beta 150,190,2012
335,Project Alpha 768,358,2010
336,Project Beta 974,34,2020
337,Project Epsilon 958,618,2014
338,Project Gamma 189,51,2011
339,Project Delta 282,166,2020
340,Project Gamma 725,677,2021
341,Project Zeta 709,587,2022
342,Project Epsilon 281,990,2017
343,Project Zeta 692,369,2010
344,Project Alpha 886,307,2015
345,Project Gamma 488,840,2011
346,Project Delta 963,564,2011
347,Project Gamma 582,138,2011
348,Project Zeta 980,282,2015
349,Project Epsilon 523,538,2013
350,Project Zeta 314,627,2010
351,Project Alpha 685,748,2020
352,Project Epsilon 189,496,2021
353,Project Zeta 719,957,2022
354,Project Zeta 394,438,2019
355,Project Gamma 365,539,2019
356,Project Epsilon 462,950,2012
357,Project Epsilon 676,509,2018
358,Project Zeta 747,510,2017
359,Project Beta 724,239,2021
360,Project Gamma 298,2,2011
361,Project Alpha 576,641,2022
362,Project Alpha 855,869,2013
363,Project Epsilon 524,424,2010
364,Project Gamma 458,574,2022
365,Project Zeta 317,12,2020
366,Project Beta 806,289,2014
367,Project Alpha 415,308,2018
368,Project Epsilon 431,786,2010
369,Project Alpha 802,342,2015
370,Project Delta 841,583,2019
371,Project Alpha 952,180,2013
372,Project Gamma 953,347,2020
373,Project Delta 585,817,2010
374,Project Zeta 239,494,2012
375,Project Zeta 571,914,2023
376,Project Epsilon 443,474,2022
377,Project Delta 860,58,2023
378,Project Epsilon 406,579,2021
379,Project Zeta 423,569,2018
380,Project Alpha 313,592,2020
381,Project Gamma 918,939,2022
382,Project Gamma 167,993,2012
383,Project Gamma 960,32,2015
384,Project Delta 741,548,2023
385,Project Beta 684,621,2016
386,Project Beta 709,120,2023
387,Project Gamma 822,879,2015
388,Project Zeta 132,279,2016
389,Project Alpha 608,899,2013
390,Project Gamma 562,850,2014
391,Project Beta 637,310,2012
392,Project Alpha 483,804,2010
393,Project Beta 194,455,2018
394,Project Alpha 918,495,2018
395,Project Beta 294,349,2017
396,Project Zeta 994,537,2014
397,Project Gamma 246,788,2023
398,Project Alpha 941,961,2018
399,Project Zeta 235,211,2021
400,Project Alpha 570,397,2021
401,Project Epsilon 218,5,2014
402,Project Alpha 803,869,2019
403,Project Alpha 441,479,2010
404,Project Alpha 633,785,2020
405,Project Zeta 419,24,2019
406,Project Gamma 754,914,2013
407,Project Gamma 305,198,2014
408,Project Gamma 645,327,2022
409,Project Delta 787,121,2014
410,Project Beta 261,281,2011
411,Project Alpha 737,574,2018
412,Project Alpha 311,556,2015
413,Project Epsilon 426,278,2012
414,Project Zeta 923,291,2019
415,Project Beta 275,73,2014
416,Project Epsilon 446,554,2017
417,Project Alpha 233,30,2017
418,Project Zeta 151,109,2016
419,Project Alpha 188,437,2016
420,Project Beta 821,611,2019
421,Project Zeta 956,707,2021
422,Project Delta 731,365,2014
423,Project Gamma 937,203,2021
424,Project Zeta 928,547,2011
425,Project Delta 681,135,2011
426,Project Zeta 579,100,2017
427,Project Gamma 800,660,2021
428,Project Delta 581,238,2013
429,Project Beta 981,918,2019
430,Project Gamma 472,402,2012
431,Project Zeta 781,339,2022
432,Project Gamma 564,500,2010
433,Project Alpha 586,116,2015
434,Project Delta 572,867,2012
435,Project Gamma 886,357,2019
436,Project Epsilon 230,521,2011
437,Project Delta 937,732,2022
438,Project Alpha 433,570,2020
439,Project Alpha 911,310,2018
440,Project Delta 510,605,2016
441,Project Beta 735,250,2018
442,Project Beta 593,394,2011
443,Project Gamma 313,834,2021
444,Project Epsilon 541,804,2016
445,Project Epsilon 906,351,2018
446,Project Zeta 341,178,2020
447,Project Zeta 179,758,2021
448,Project Epsilon 956,499,2011
449,Project Epsilon 710,475,2015
450,Project Epsilon 199,842,2017
451,Project Beta 415,979,2016
452,Project Alpha 712,112,2020
453,Project Epsilon 889,840,2016
454,Project Gamma 606,661,2020
455,Project Alpha 192,223,2023
456,Project Beta 694,925,2022
457,Project Zeta 929,1,2022
458,Project Beta 776,153,2017
459,Project Epsilon 398,400,2019
460,Project Epsilon 557,201,2013
461,Project Zeta 998,325,2014
462,Project Epsilon 913,936,2020
463,Project Gamma 545,736,2015
464,Project Alpha 696,9,2019
465,Project Epsilon 513,868,2012
466,Project Gamma 163,379,2018
467,Project Alpha 100,721,2018
468,Project Gamma 212,882,2014
469,Project Alpha 340,443,2021
470,Project Epsilon 503,641,2015
471,Project Zeta 491,416,2016
472,Project Delta 658,217,2020
473,Project Beta 586,143,2013
474,Project Epsilon 493,864,2015
475,Project Delta 257,296,2023
476,Project Zeta 228,138,2010
477,Project Alpha 763,17,2012
478,Project Zeta 598,674,2016
479,Project Beta 186,141,2020
480,Project Delta 980,467,2022
481,Project Zeta 718,953,2016
482,Project Epsilon 284,466,2018
483,Project Delta 665,840,2017
484,Project Delta 463,232,2012
485,Project Delta 719,8,2019
486,Project Delta 967,749,2013
487,Project Zeta 613,276,2016
488,Project Epsilon 690,376,2010
489,Project Alpha 681,495,2021
490,Project Gamma 215,595,2017
491,Project Zeta 181,146,2021
492,Project Zeta 639,880,2022
493,Project Gamma 576,530,2011
494,Project Epsilon 724,91,2013
495,Project Delta 745,760,2020
496,Project Zeta 179,701,2020
497,Project Epsilon 917,594,2014
498,Project Epsilon 154,926,2015
499,Project Epsilon 897,12,2017
500,Project Delta 624,928,2017
501,Project Epsilon 851,340,2016
502,Project Gamma 917,302,2014
503,Project Beta 136,712,2019
504,Project Zeta 411,745,2022
505,Project Epsilon 366,63,2020
506,Project Delta 692,174,2019
507,Project Alpha 772,299,2022
508,Project Zeta 739,28,2014
509,Project Delta 184,130,2018
510,Project Alpha 971,803,2014
511,Project Gamma 235,631,2014
512,Project Gamma 978,264,2010
513,Project Zeta 214,619,2012
514,Project Epsilon 856,155,2020
515,Project Delta 478,828,2012
516,Project Gamma 901,718,2013
517,Project Delta 285,819,2018
518,Project Alpha 451,87,2012
519,Project Epsilon 941,158,2023
520,Project Delta 870,423,2022
521,Project Delta 343,677,2017
522,Project Zeta 752,172,2013
523,Project Epsilon 851,863,2015
524,Project Alpha 757,271,2022
525,Project Alpha 153,172,2017
526,Project Delta 587,309,2017
527,Project Zeta 870,945,2018
528,Project Beta 488,700,2021
529,Project Delta 585,269,2012
530,Project Epsilon 991,446,2010
531,Project Gamma 916,460,2016
532,Project Zeta 423,985,2018
533,Project Zeta 142,100,2018
534,Project Zeta 462,980,2023
535,Project Delta 725,941,2020
536,Project Gamma 443,277,2014
537,Project Alpha 361,671,2019
538,Project Delta 572,792,2020
539,Project Zeta 347,752,2020
540,Project Epsilon 888,200,2018
541,Project Gamma 793,707,2012
542,Project Gamma 660,11,2020
543,Project Alpha 951,70,2010
544,Project Delta 200,538,2011
545,Project Zeta 556,360,2013
546,Project Zeta 390,258,2013
547,Project Alpha 124,635,2011
548,Project Alpha 708,673,2023
549,Project Beta 713,654,2011
550,Project Zeta 222,89,2023
551,Project Epsilon 233,385,2020
552,Project Zeta 679,823,2012
553,Project Alpha 812,189,2014
554,Project Gamma 578,677,2011
555,Project Zeta 564,945,2014
556,Project Delta 808,926,2020
557,Project Gamma 363,166,2022
558,Project Alpha 383,796,2010
559,Project Delta 497,341,2010
560,Project Gamma 932,272,2012
561,Project Delta 171,504,2013
562,Project Epsilon 502,183,2020
563,Project Delta 211,148,2018
564,Project Delta 323,629,2020
565,Project Alpha 552,733,2014
566,Project Alpha 135,75,2011
567,Project Epsilon 845,257,2022
568,Project Delta 119,919,2017
569,Project Beta 768,656,2010
570,Project Alpha 780,400,2014
571,Project Beta 816,338,2016
572,Project Epsilon 103,528,2021
573,Project Delta 589,447,2016
574,Project Zeta 899,832,2022
575,Project Alpha 653,232,2010
576,Project Delta 805,838,2022
577,Project Delta 224,581,2018
578,Project Gamma 441,699,2014
579,Project Delta 156,648,2020
580,Project Alpha 474,548,2023
581,Project Gamma 182,862,2017
582,Project Gamma 763,208,2012
583,Project Epsilon 140,991,2016
584,Project Zeta 295,307,2021
585,Project Delta 209,646,2021
586,Project Gamma 598,87,2020
587,Project Delta 852,195,2012
588,Project Alpha 297,26,2021
589,Project Epsilon 344,501,2016
590,Project Alpha 911,554,2020
591,Project Gamma 611,547,2023
592,Project Delta 116,38,2015
593,Project Alpha 445,807,2021
594,Project Alpha 515,122,2013
595,Project Zeta 783,536,2017
596,Project Zeta 991,896,2018
597,Project Beta 858,594,2013
598,Project Alpha 137,754,2012
599,Project Delta 769,20,2017
600,Project Epsilon 146,249,2021
601,Project Zeta 233,15,2012
602,Project Zeta 151,927,2014
603,Project Alpha 567,626,2012
604,Project Epsilon 165,838,2023
605,Project Alpha 216,510,2019
606,Project Epsilon 325,65,2022
607,Project Beta 536,346,2022
608,Project Zeta 794,412,2015
609,Project Alpha 800,590,2018
610,Project Beta 429,857,2022
611,Project Beta 882,47,2019
612,Project Beta 443,65,2011
613,Project Gamma 244,776,2016
614,Project Beta 813,379,2018
615,Project Beta 549,250,2019
616,Project Alpha 236,103,2022
617,Project Zeta 727,386,2022
618,Project Beta 116,901,2017
619,Project Alpha 106,8,2012
620,Project Alpha 823,668,2019
621,Project Gamma 526,711,2022
622,Project Delta 808,130,2013
623,Project Beta 755,278,2018
624,Project Delta 521,245,2012
625,Project Epsilon 808,39,2019
626,Project Beta 834,512,2019
627,Project Alpha 742,847,2022
628,Project Gamma 456,429,2010
629,Project Epsilon 341,197,2011
630,Project Epsilon 197,634,2015
631,Project Epsilon 619,225,2017
632,Project Zeta 775,214,2014
633,Project Alpha 298,116,2022
634,Project Beta 801,865,2017
635,Project Delta 280,164,2020
636,Project Alpha 155,661,2015
637,Project Gamma 314,446,2014
638,Project Gamma 731,825,2022
639,Project Delta 144,107,2021
640,Project Alpha 650,181,2012
641,Project Alpha 596,528,2011
642,Project Alpha 340,739,2017
643,Project Epsilon 693,334,2016
644,Project Beta 865,694,2015
645,Project Beta 897,113,2015
646,Project Beta 200,243,2021
647,Project Delta 990,205,2016
648,Project Beta 175,483,2019
649,Project Delta 155,912,2016
650,Project Beta 321,951,2019
651,Project Delta 282,397,2015
652,Project Beta 568,738,2013
653,Project Zeta 467,999,2014
654,Project Beta 443,131,2010
655,Project Zeta 682,62,2014
656,Project Beta 213,873,2017
657,Project Delta 528,176,2022
658,Project Gamma 325,908,2014
659,Project Epsilon 260,809,2022
660,Project Zeta 726,928,2012
661,Project Epsilon 666,876,2013
662,Project Alpha 521,878,2018
663,Project Delta 982,222,2019
664,Project Delta 957,474,2014
665,Project Alpha 847,439,2021
666,Project Beta 353,336,2016
667,Project Epsilon 327,914,2019
668,Project Beta 687,920,2010
669,Project Delta 145,42,2017
670,Project Zeta 887,517,2010
671,Project Delta 643,404,2017
672,Project Zeta 941,101,2017
673,Project Delta 346,86,2018
674,Project Alpha 809,750,2016
675,Project Beta 235,368,2014
676,Project Beta 763,93,2010
677,Project Delta 785,313,2012
678,Project Zeta 570,879,2019
679,Project Zeta 697,25,2017
680,Project Delta 890,142,2023
681,Project Zeta 515,190,2022
682,Project Gamma 741,476,2021
683,Project Zeta 101,882,2020
684,Project Alpha 494,915,2021
685,Project Gamma 643,34,2014
686,Project Delta 870,277,2021
687,Project Epsilon 655,590,2022
688,Project Beta 906,702,2011
689,Project Epsilon 443,754,2010
690,Project Epsilon 790,373,2010
691,Project Alpha 492,375,2017
692,Project Epsilon 141,375,2015
693,Project Beta 763,573,2021
694,Project Alpha 674,727,2022
695,Project Beta 241,343,2013
696,Project Epsilon 216,665,2017
697,Project Zeta 870,595,2023
698,Project Zeta 314,772,2021
699,Project Beta 428,362,2014
700,Project Epsilon 796,434,2014
701,Project Alpha 164,382,2015
702,Project Delta 597,514,2018
703,Project Alpha 581,727,2018
704,Project Zeta 945,546,2014
705,Project Delta 735,377,2022
706,Project Zeta 809,829,2011
707,Project Beta 568,90,2011
708,Project Delta 283,296,2011
709,Project Alpha 268,283,2011
710,Project Zeta 251,509,2012
711,Project Beta 633,975,2020
712,Project Alpha 400,427,2020
713,Project Epsilon 235,486,2015
714,Project Delta 554,756,2020
715,Project Alpha 398,194,2011
716,Project Alpha 992,822,2013
717,Project Epsilon 760,344,2016
718,Project Epsilon 451,672,2020
719,Project Gamma 597,608,2020
720,Project Zeta 642,863,2018
721,Project Delta 568,312,2019
722,Project Beta 908,314,2012
723,Project Gamma 332,496,2015
724,Project Gamma 888,866,2010
725,Project Beta 461,292,2017
726,Project Beta 733,947,2012
727,Project Zeta 648,293,2012
728,Project Beta 959,726,2021
729,Project Zeta 913,158,2012
730,Project Beta 219,43,2015
731,Project Epsilon 229,452,2014
732,Project Gamma 288,211,2018
733,Project Zeta 135,682,2015
734,Project Gamma 251,382,2017
735,Project Epsilon 266,547,2014
736,Project Alpha 125,415,2017
737,Project Beta 569,951,2015
738,Project Beta 104,994,2021
739,Project Epsilon 619,340,2020
740,Project Zeta 402,486,2014
741,Project Epsilon 782,151,2022
742,Project Epsilon 846,929,2017
743,Project Gamma 805,116,2021
744,Project Delta 141,143,2020
745,Project Epsilon 219,316,2010
746,Project Delta 732,862,2013
747,Project Delta 465,95,2015
748,Project Alpha 722,657,2013
749,Project Epsilon 639,228,2022
750,Project Gamma 300,24,2011
751,Project Epsilon 969,457,2020
752,Project Zeta 189,1000,2018
753,Project Delta 299,503,2015
754,Project Epsilon 719,524,2010
755,Project Zeta 469,408,2012
756,Project Zeta 974,438,2015
757,Project Delta 481,13,2014
758,Project Gamma 459,316,2017
759,Project Epsilon 189,221,2021
760,Project Delta 859,426,2022
761,Project Delta 395,168,2022
762,Project Zeta 534,747,2016
763,Project Beta 955,602,2019
764,Project Alpha 247,213,2014
765,Project Delta 988,538,2015
766,Project Alpha 704,775,2016
767,Project Alpha 106,420,2020
768,Project Gamma 524,180,2018
769,Project Delta 827,582,2022
770,Project Beta 304,191,2023
771,Project Delta 396,568,2017
772,Project Alpha 942,847,2014
773,Project Epsilon 411,506,2018
774,Project Zeta 574,230,2010
775,Project Alpha 257,269,2014
776,Project Zeta 954,652,2017
777,Project Alpha 769,682,2014
778,Project Delta 283,504,2021
779,Project Zeta 350,30,2011
780,Project Gamma 604,994,2011
781,Project Epsilon 863,371,2019
782,Project Delta 679,447,2023
783,Project Gamma 743,703,2017
784,Project Zeta 937,123,2015
785,Project Epsilon 850,590,2010
786,Project Gamma 266,596,2010
787,Project Beta 427,473,2021
788,Project Beta 465,168,2010
789,Project Gamma 469,430,2020
790,Project Gamma 149,297,2014
791,Project Epsilon 754,959,2011
792,Project Epsilon 298,785,2020
793,Project Beta 883,97,2019
794,Project Beta 656,331,2023
795,Project Gamma 946,866,2020
796,Project Gamma 377,702,2021
797,Project Zeta 471,99,2018
798,Project Epsilon 460,844,2012
799,Project Alpha 240,531,2014
800,Project Gamma 897,497,2016
801,Project Gamma 266,105,2013
802,Project Beta 615,227,2023
803,Project Beta 914,919,2018
804,Project Epsilon 806,852,2018
805,Project Epsilon 829,565,2021
806,Project Alpha 527,472,2011
807,Project Alpha 938,135,2010
808,Project Delta 456,320,2021
809,Project Gamma 242,837,2017
810,Project Epsilon 635,782,2015
811,Project Beta 826,312,2010
812,Project Zeta 934,122,2013
813,Project Beta 977,711,2012
814,Project Zeta 332,315,2012
815,Project Beta 233,81,2016
816,Project Zeta 881,803,2011
817,Project Alpha 119,794,2017
818,Project Delta 143,202,2011
819,Project Alpha 912,676,2018
820,Project Epsilon 160,481,2011
821,Project Gamma 144,68,2014
822,Project Zeta 110,773,2011
823,Project Alpha 716,211,2019
824,Project Beta 289,687,2015
825,Project Alpha 192,150,2023
826,Project Zeta 384,972,2019
827,Project Gamma 460,165,2023
828,Project Epsilon 899,747,2019
829,Project Beta 617,584,2011
830,Project Alpha 939,593,2022
831,Project Alpha 641,223,2021
832,Project Beta 388,176,2022
833,Project Epsilon 104,997,2021
834,Project Alpha 319,943,2018
835,Project Zeta 586,376,2021
836,Project Epsilon 289,451,2020
837,Project Alpha 285,855,2015
838,Project Delta 534,220,2018
839,Project Beta 517,116,2022
840,Project Gamma 226,478,2011
841,Project Epsilon 239,508,2022
842,Project Gamma 821,296,2018
843,Project Zeta 141,85,2015
844,Project Delta 218,395,2014
845,Project Delta 714,754,2014
846,Project Zeta 961,455,2013
847,Project Epsilon 517,298,2023
848,Project Delta 293,878,2011
849,Project Delta 795,377,2012
850,Project Alpha 790,504,2020
851,Project Alpha 505,449,2018
852,Project Zeta 792,88,2011
853,Project Beta 504,411,2021
854,Project Epsilon 204,760,2012
855,Project Alpha 472,999,2013
856,Project Gamma 305,610,2023
857,Project Delta 225,239,2023
858,Project Delta 842,512,2014
859,Project Zeta 884,596,2019
860,Project Gamma 874,809,2022
861,Project Zeta 509,365,2017
862,Project Zeta 717,973,2016
863,Project Delta 623,286,2012
864,Project Delta 210,126,2014
865,Project Delta 609,237,2020
866,Project Beta 130,102,2021
867,Project Alpha 950,70,2017
868,Project Zeta 127,996,2012
869,Project Delta 719,696,2015
870,Project Beta 410,637,2019
871,Project Alpha 878,79,2020
872,Project Epsilon 885,505,2022
873,Project Delta 306,301,2020
874,Project Delta 602,517,2014
875,Project Epsilon 451,829,2023
876,Project Epsilon 659,19,2022
877,Project Alpha 540,902,2011
878,Project Delta 560,323,2023
879,Project Delta 553,471,2010
880,Project Alpha 281,571,2020
881,Project Gamma 823,169,2017
